,C00002,C00003,C00004,C00005,C00006,C00008,C00010,C00024,C00026,C00035,C00042,C00044,C00074,C00085,C00091,C00092,C00100,C00111,C00117,C00118,C00122,C00149,C00197,C00199,C00231,C00236,C00311,C00345,C00354,C00417,C00631,C00683,C01213,C02225,C04593,C05382
Glc,17757.1345238095,2044.4691666667,46.4614297619,209.5892380952,638.2791666667,5270.7452380952,479.7077428571,290.2862261905,761.7402380952,956.5846428571,,2956.4083333333,256.7998928571,727.3983333333,157.1027619048,1426.8691666667,61.0234583333,242.6793690476,163.9788809524,528.6344285714,56.8859285714,603.681797619,424.4601785714,297.453052381,193.2724642857,22.9124083333,22.3709642857,795.5578571429,77.7759285714,23.539597619,424.4601785714,70.2022380952,70.2022380952,22.2325714286,22.2325714286,840.7307142857
Prop,5669.4357142857,2809.3571428571,93.7413571429,394.2371428571,590.0571428571,2747.3914285714,994.9157142857,78.0823571429,250.3034285714,801.29,,793.3278571429,168.146,616.9371428571,189.9078571429,1150.0792857143,406.05,79.6222857143,86.883,367.825,63.1322142857,723.2442857143,205.5785714286,194.8831428571,138.2610714286,7.0541714286,27.7374285714,438.7785714286,30.6939428571,31.9005714286,205.5785714286,237.6989285714,237.6989285714,599.3246428571,599.3246428571,717.5792857143
Glu,9496.2124955152,2934.0806469699,,276.42500101,794.6849282284,2367.1785479128,,141.0544190327,997.6312238279,284.2309339227,1276.2829138387,801.5911827037,272.7822630993,,,621.5492337639,,215.173831621,3598.7108361603,,367.4382612974,1552.79131411,297.3506357678,6329.2996488286,,43.5610502771,,196.188089183,52.8386761352,69.2295372928,297.3506357678,3.4324936177,3.4324936177,,,159.4001979865
